slug,title,age,stars,summary,author,year,image,url,list
"the-snowy-day","The Snowy Day","2+","5","Classic captures a kid's delight in freshly fallen snow.","Ezra Jack Keats","1962","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/1341-orig.jpg","https://www.commonsensemedia.org/book-reviews/the-snowy-day","books-that-promote-diversity-and-inclusion"
"last-stop-on-market-street","Last Stop on Market Street","3+","5","Tender story of Nana showing grandson city beauty via bus.","Matt de la Peña","2015","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/last-stop.jpeg","https://www.commonsensemedia.org/book-reviews/last-stop-on-market-street","books-that-promote-diversity-and-inclusion"
"like","Like","3+","4","Sweet story of our common humanity has lively illustrations.","Annie Barrows","2022","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/like-book-image.jpg","https://www.commonsensemedia.org/book-reviews/like","books-that-promote-diversity-and-inclusion"
"the-world-needs-more-purple-schools","The World Needs More Purple Schools","3+","4","Bright, upbeat celebration of individuality and curiosity.","Kristen Bell","2022","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/theworldneedsmorepurpleschools-book-image.jpg","https://www.commonsensemedia.org/book-reviews/the-world-needs-more-purple-schools","books-that-promote-diversity-and-inclusion"
"all-are-neighbors","All Are Neighbors","4+","5","Colorful images celebrate diverse, inclusive neighbors.","Alexandra Penfold","2022","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/allareneighbors-book-image.jpg","https://www.commonsensemedia.org/book-reviews/all-are-neighbors","books-that-promote-diversity-and-inclusion"
"all-are-welcome","All Are Welcome","4+","5","Kind, uplifting story of inclusion and diversity at school.","Alexandra Penfold","2018","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/allarewelcome-book-image.jpg","https://www.commonsensemedia.org/book-reviews/all-are-welcome","books-that-promote-diversity-and-inclusion"
"american-desi","American Desi","4+","4","Lovely celebration of Indian and American cultures blending.","Jyoti Rajan Gopal","2022","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/americandesi-book-image.jpg","https://www.commonsensemedia.org/book-reviews/american-desi","books-that-promote-diversity-and-inclusion"
"everybody-has-a-body","Everybody Has a Body","4+","4","Powerful, body-neutral look at all kinds of bodies.","Molli Jackson Ehlert","2023","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/everybody-has-a-body-book-cover.jpeg","https://www.commonsensemedia.org/book-reviews/everybody-has-a-body","books-that-promote-diversity-and-inclusion"
"happy-mothers-day-from-the-crayons","Happy Mother's Day from the Crayons","4+","4","Crayons thank their caregivers in inclusive holiday tale.","Drew Daywalt","2025","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/happy-mother-s-day-from-the-crayons-book-cover.jpg","https://www.commonsensemedia.org/book-reviews/happy-mothers-day-from-the-crayons","books-that-promote-diversity-and-inclusion"
"i-want-to-be-spaghetti","I Want to Be Spaghetti!","4+","4","Lively illustrations share message of self-love, diversity.","Keira Wright-Ruiz","2023","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/i-want-to-be-spaghetti-book-cover-image-1.jpg","https://www.commonsensemedia.org/book-reviews/i-want-to-be-spaghetti","books-that-promote-diversity-and-inclusion"
"marisol-mcdonald-doesnt-match-marisol-mcdonald-no-combina","Marisol McDonald Doesn't Match / Marisol McDonald no combina","4+","5","Biracial girl embraces her uniqueness in charming story.","Monica Brown","2011","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/marisol-mcdonald-doesnt-match-marisol-mcdonald-no-combina-book-image.jpg","https://www.commonsensemedia.org/book-reviews/marisol-mcdonald-doesnt-match-marisol-mcdonald-no-combina","books-that-promote-diversity-and-inclusion"
"mixed-me","Mixed Me!","4+","4","Boy embraces his uniqueness in exuberant identity tale.","Taye Diggs","2015","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/mixedme-opt.jpg","https://www.commonsensemedia.org/book-reviews/mixed-me","books-that-promote-diversity-and-inclusion"
"parker-looks-up-an-extraordinary-moment","Parker Looks Up: An Extraordinary Moment","4+","4","Girl finds role model who looks like her in inspiring tale.","Parker Curry","2019","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/parker-looks-up-min.jpg","https://www.commonsensemedia.org/book-reviews/parker-looks-up-an-extraordinary-moment","books-that-promote-diversity-and-inclusion"
"the-day-you-begin","The Day You Begin","4+","5","Encouraging advice for kids who feel excluded or less than.","Jacqueline Woodson","2018","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/9780399246531-p0-v1-s600x595.jpg","https://www.commonsensemedia.org/book-reviews/the-day-you-begin","books-that-promote-diversity-and-inclusion"
"were-all-wonders","We're All Wonders","4+","5","Boy who's different promotes kindness in fresh empathy tale.","R.J. Palacio","2017","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/were-all-wonders.jpeg","https://www.commonsensemedia.org/book-reviews/were-all-wonders","books-that-promote-diversity-and-inclusion"
"princess-hair","Princess Hair","5+","5","Jubilant celebration of girls' hairstyles, hair textures.","Sharee Miller","2017","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/princess-hair.jpg","https://www.commonsensemedia.org/book-reviews/princess-hair","books-that-promote-diversity-and-inclusion"
"your-name-is-a-song","Your Name Is a Song","5+","5","Melodic story celebrates the beauty of everyone's name.","Jamilah Thompkins-Bigelow","2020","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/you-name-is-a-song.jpg","https://www.commonsensemedia.org/book-reviews/your-name-is-a-song","books-that-promote-diversity-and-inclusion"
"not-so-different-what-you-really-want-to-ask-about-having-a-disability","Not So Different: What You Really Want to Ask About Having a Disability","6+","5","Young man shares info about disability with honesty, humor.","Shane Burcaw","2017","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/51xiv8iqrl-sx258-bo1204203200.jpg","https://www.commonsensemedia.org/book-reviews/not-so-different-what-you-really-want-to-ask-about-having-a-disability","books-that-promote-diversity-and-inclusion"
"the-invisible-boy","The Invisible Boy","6+","5","Kind tale of empathy shows how to reach out to left-out kid.","Trudy Ludwig","2013","https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/invisible-boy-book.jpg","https://www.commonsensemedia.org/book-reviews/the-invisible-boy","books-that-promote-diversity-and-inclusion"
"i-am-martin-luther-king-jr-ordinary-people-change-the-world","I Am Martin Luther King, Jr.: Ordinary People Change the World","7+","4","Kid-friendly bio a strong, accessible intro to King's life.","Brad Meltzer","2016","https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/i-am-martin-luther-king-jr.jpg","https://www.commonsensemedia.org/book-reviews/i-am-martin-luther-king-jr-ordinary-people-change-the-world","books-that-promote-diversity-and-inclusion"
