title,authors,publisher,year,rating,ratings_count,pages,domain,tags,framework_ref,categories,isbn,url,summary,source,collected_at
Working with Emotional Intelligence,Daniel Goleman,Bantam,2000,5,1,402,Professional Effectiveness,career|performance|success,goleman,Business & Economics,9780553378580,http://books.google.com/books?id=0Zzcd8k6TNEC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Do you have what it takes to succeed in your career? The secret of success is not what they taught you in school. What matters most is not IQ, not a business school degree, not even technical know-how or years of expertise. The single most important factor in job performance and advancement is emotional intelligence. Emotional intelligence is actually a set of skills that anyone can acquire, and in this practical guide, Daniel Goleman identifies them, explains their importance, and shows how the",Google Books,2026-08-30
The Educator's Guide to Emotional Intelligence and Academic Achievement,"Maurice J. Elias, Harriett Arnold",Corwin Press,2006,5,1,297,Professional Effectiveness,professional-development|success|achievement,goleman,Education,9781412914819,http://books.google.com/books?id=FKcGe7ivEOEC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Tap the power of emotional intelligence and watch school-wide achievement soar!""Bringing all this information together in one spot is quite a contribution. There isn′t too much research or theory here, but lots of emphasis on ′What can I do on Monday?′"" -David A. Squires, Associate Professor, Southern Connecticut State University""I highlighted at least two dozen specific ideas that I will implement in my classroom next year."" -Steve Reifman, Teacher, Santa Monica-Malibu Unified School District, ",Google Books,2026-08-30
"Emotional Intelligence : 21 Effective Tips To Boost Your EQ (A Practical Guide To Mastering Emotions, Improving Social Skills & Fulfilling Relationships For A Happy And Successful Life )",Alison L. Alverson,Alison L. Alverson,2019,5,1,67,Self-Management,motivation|self-regulation,goleman,Self-Help,,https://play.google.com/store/books/details?id=0ibfDwAAQBAJ&source=gbs_api,"If you want to fulfill your emotional potential and create a content life full of strong and rewarding relationships, then keep reading … Have you ever found yourself doing or saying something in the heat of the moment that you later regretted? Perhaps you laid awake all night wondering why you had spoken or acted in this way. Can you recall more than one occasion where you lost control of yourself and it felt as if something else had taken over you? Don't worry. You're not alone. The thing that",Google Books,2026-08-30
Working With Emotional Intelligence,Daniel Goleman,Bantam,2011,5,1,388,Professional Effectiveness,career|performance|success,goleman,Business & Economics,9780553903218,https://play.google.com/store/books/details?id=9nuVVzkblNgC&source=gbs_api,"Do you have what it takes to succeed in your career? The secret of success is not what they taught you in school. What matters most is not IQ, not a business school degree, not even technical know-how or years of expertise. The single most important factor in job performance and advancement is emotional intelligence. Emotional intelligence is actually a set of skills that anyone can acquire, and in this practical guide, Daniel Goleman identifies them, explains their importance, and shows how the",Google Books,2026-08-30
The Oxford Handbook of Compassion Science,"Emma Seppala, Emiliana Simon-Thomas, Stephanie L. Brown, Monica C. Worline, C. Daryl Cameron, James Robert Doty",Oxford University Press,2017,5,1,557,Social Awareness,compassion,none,Psychology,9780190464684,http://books.google.com/books?id=eYY0DwAAQBAJ&dq=empathy+compassion&hl=&as_pt=BOOKS&source=gbs_api,"With contributions from well-established scholars as well as young rising stars in the field, this Handbook bridges a wide variety of diverse perspectives, research methodologies, and theory, and provides a foundation for this new and rapidly growing field.",Google Books,2026-08-30
Empathy and Moral Development,Martin L. Hoffman,Cambridge University Press,2001,5,1,346,Social Awareness,empathy|compassion,none,Philosophy,9780521012973,http://books.google.com/books?id=ose5vtvDoBoC&dq=empathy+compassion&hl=&as_pt=BOOKS&source=gbs_api,"Contemporary theories have generally focused on either the behavioral, cognitive or emotional dimensions of prosocial moral development. In this volume, these three dimensions are brought together while providing the first comprehensive account of prosocial moral development in children. The main concept is empathy - one feels what is appropriate for another person's situation, not one's own. Hoffman discusses empathy's role in five moral situations. The book's focus is empathy's contribution to",Google Books,2026-08-30
Emotional Intelligence,Daniel Goleman,Bantam,2012,4,6,386,Self-Awareness,self-awareness,goleman,Self-Help,9780553903201,https://play.google.com/store/books/details?id=OgXxhmGiRB0C&source=gbs_api,"#1 BESTSELLER • The groundbreaking book that redefines what it means to be smart, with a new introduction by the author “A thoughtfully written, persuasive account explaining emotional intelligence and why it can be crucial.”—USA Today Everyone knows that high IQ is no guarantee of success, happiness, or virtue, but until Emotional Intelligence, we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our “two ",Google Books,2026-08-30
Mindset,Carol S. Dweck,Random House,2006,4,13,322,Self-Management,resilience|growth-mindset,none,Psychology,9781400062751,http://books.google.com/books?id=fT6U0Ee7_kQC&dq=growth+mindset&hl=&as_pt=BOOKS&source=gbs_api,"From the renowned psychologist who introduced the world to “growth mindset” comes this updated edition of the million-copy bestseller—featuring transformative insights into redefining success, building lifelong resilience, and supercharging self-improvement. “Through clever research studies and engaging writing, Dweck illuminates how our beliefs about our capabilities exert tremendous influence on how we learn and which paths we take in life.”—Bill Gates, GatesNotes “It’s not always the people w",Google Books,2026-08-30
Mindset,Carol Dweck,Hachette UK,2012,3,1,203,Self-Management,resilience|growth-mindset,none,Psychology,9781780333939,http://books.google.com/books?id=R0-eBAAAQBAJ&dq=growth+mindset&hl=&as_pt=BOOKS&source=gbs_api,"World-renowned Stanford University psychologist Carol Dweck, in decades of research on achievement and success, has discovered a truly groundbreaking idea-the power of our mindset. Dweck explains why it's not just our abilities and talent that bring us success-but whether we approach them with a fixed or growth mindset. She makes clear why praising intelligence and ability doesn't foster self-esteem and lead to accomplishment, but may actually jeopardize success. With the right mindset, we can m",Google Books,2026-08-30
The Non-Obvious Guide to Emotional Intelligence (You Can Actually Use),Kerry Goyette,IdeaPress Publishing,2019,2,1,0,Uncategorised,,goleman,Business & Economics,9781940858913,http://books.google.com/books?id=hlVmxAEACAAJ&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"""Like having coffee with an expert""--Cover.",Google Books,2026-08-30
