title,authors,publisher,year,rating,ratings_count,pages,domain,tags,framework_ref,categories,isbn,url,summary,source,collected_at
Working with Emotional Intelligence,Daniel Goleman,Bantam,2000,5,1,402,Professional Effectiveness,career|performance|success,goleman,Business & Economics,9780553378580,http://books.google.com/books?id=0Zzcd8k6TNEC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Do you have what it takes to succeed in your career? The secret of success is not what they taught you in school. What matters most is not IQ, not a business school degree, not even technical know-how or years of expertise. The single most important factor in job performance and advancement is emotional intelligence. Emotional intelligence is actually a set of skills that anyone can acquire, and in this practical guide, Daniel Goleman identifies them, explains their importance, and shows how the",Google Books,2026-08-30
The Educator's Guide to Emotional Intelligence and Academic Achievement,"Maurice J. Elias, Harriett Arnold",Corwin Press,2006,5,1,297,Professional Effectiveness,professional-development|success|achievement,goleman,Education,9781412914819,http://books.google.com/books?id=FKcGe7ivEOEC&dq=emotional+intelligence&hl=&as_pt=BOOKS&source=gbs_api,"Tap the power of emotional intelligence and watch school-wide achievement soar!""Bringing all this information together in one spot is quite a contribution. There isn′t too much research or theory here, but lots of emphasis on ′What can I do on Monday?′"" -David A. Squires, Associate Professor, Southern Connecticut State University""I highlighted at least two dozen specific ideas that I will implement in my classroom next year."" -Steve Reifman, Teacher, Santa Monica-Malibu Unified School District, ",Google Books,2026-08-30
"Emotional Intelligence : 21 Effective Tips To Boost Your EQ (A Practical Guide To Mastering Emotions, Improving Social Skills & Fulfilling Relationships For A Happy And Successful Life )",Alison L. Alverson,Alison L. Alverson,2019,5,1,67,Self-Management,motivation|self-regulation,goleman,Self-Help,,https://play.google.com/store/books/details?id=0ibfDwAAQBAJ&source=gbs_api,"If you want to fulfill your emotional potential and create a content life full of strong and rewarding relationships, then keep reading … Have you ever found yourself doing or saying something in the heat of the moment that you later regretted? Perhaps you laid awake all night wondering why you had spoken or acted in this way. Can you recall more than one occasion where you lost control of yourself and it felt as if something else had taken over you? Don't worry. You're not alone. The thing that",Google Books,2026-08-30
Emotional Intelligence in Everyday Life,"Joseph Ciarrochi, Joseph P. Forgas, John D. Mayer",Psychology Press,2013,5,2,313,Professional Effectiveness,success,goleman,Psychology,9781135205645,https://play.google.com/store/books/details?id=WV1TAQAAQBAJ&source=gbs_api,"Since the release of the very successful first edition in 2001, the field of emotional intelligence has grown in sophistication and importance. Many new and talented researchers have come into the field and techniques in EI measurement have dramatically increased so that we now know much more about the distinctiveness and utility of the different EI measures. There has also been a dramatic upswing in research that looks at how to teach EI in schools, organizations, and families. In this second e",Google Books,2026-08-30
Working With Emotional Intelligence,Daniel Goleman,Bantam,2011,5,1,388,Professional Effectiveness,career|performance|success,goleman,Business & Economics,9780553903218,https://play.google.com/store/books/details?id=9nuVVzkblNgC&source=gbs_api,"Do you have what it takes to succeed in your career? The secret of success is not what they taught you in school. What matters most is not IQ, not a business school degree, not even technical know-how or years of expertise. The single most important factor in job performance and advancement is emotional intelligence. Emotional intelligence is actually a set of skills that anyone can acquire, and in this practical guide, Daniel Goleman identifies them, explains their importance, and shows how the",Google Books,2026-08-30
Concise Encyclopedia of Special Education,"Cecil R. Reynolds, Elaine Fletcher-Janzen",John Wiley & Sons,2004,5,1,1082,Professional Effectiveness,achievement,none,Education,9780471232186,https://play.google.com/store/books/details?id=u4uzPlgcWpsC&source=gbs_api,"The Concise Encyclopedia of Special Education, Second Edition is a comprehensive resource for those working in the fields of special education research and practice. Featuring reviews of assessment instruments and teaching approaches, legal issues, overviews of specific learning disabilities, dozens of biographies, and more, this complete desk reference is an indispensable guide for professionals, academics, and students alike. Named an American Library Association Top 25 Reference of the Year i",Google Books,2026-08-30
Interpersonal Skills in Organisations,"Suzanne C. De Janasz, Joanna Crossman, Nadine Campbell, Mary Power, Karen Dowd, Beth Schneider",,2014,5,1,510,Relationship Management,coaching|leadership|feedback,none,Communication in organizations,9781743071540,http://books.google.com/books?id=NENFngEACAAJ&dq=interpersonal+skills+professional&hl=&as_pt=BOOKS&source=gbs_api,"De Janasz provides a fresh and contemporary introduction to the skills necessary for personal and managerial success in organisations today. Suitable for all student audiences, De Janasz provides a range of Australian examples and references from diverse organisations to ensure a relevant and engaging cultural context for students. Packed with exercises, cases, group activities, and online activities it is the ideal choice for instructors who want to employ an experiential and hands-on approach ",Google Books,2026-08-30
Management,Arthur G. Bedeian,,1993,5,1,780,Uncategorised,,none,Business & Economics,,http://books.google.com/books?id=N_bsAAAAMAAJ&dq=people+skills+work&hl=&as_pt=BOOKS&source=gbs_api,,Google Books,2026-08-30
Why Am I Afraid to Tell You who I Am?,John Powell,Zondervan,1999,5,1,116,Self-Awareness,self-awareness,none,Family & Relationships,9780006281054,http://books.google.com/books?id=A-JKPKkwjXIC&dq=self+awareness+personal+growth&hl=&as_pt=BOOKS&source=gbs_api,"Insights on self-awareness, personal growth and communication with others from the best-selling author of Why Am I Afraid to Love? New edition including a fresh new internal design. Why do people continually hide their real selves from the people around them? Why are so many so insecure and afraid to open up? The answer, explains John Powell is that maturity as people is reached by communicating and interacting with others. The problem this book considers is what happens to our real selves if no",Google Books,2026-08-30
Patient-centered Medicine,Moira Stewart,Radcliffe Publishing,2003,5,4,380,Uncategorised,,none,Medical,9781857759815,http://books.google.com/books?id=qnfytcp9neUC&dq=self+awareness+personal+growth&hl=&as_pt=BOOKS&source=gbs_api,"Divided into four parts, this volume comprehensively covers the evolution of patient-centered care, the six interactive components of the patient-centered clinical method, teaching and learning, and research including findings and reviews. It explains the basis and development of the clinical method.",Google Books,2026-08-30
