title,author,age_range,book_type,audience,casel_domain,problem_tags,source
Brave Every Day,Trudy Ludwig,6-8,children_fiction,children,Self-Management,"anxiety,fear,self-esteem",WeAreTeachers
A Case of the Zaps,Alex Boniello & April Lavalle,6-8,children_fiction,children,Self-Management,anxiety,WeAreTeachers
The Whatifs,Emily Kilgore,6-8,children_fiction,children,Self-Management,anxiety,WeAreTeachers
Jabari Jumps,Gaia Cornwall,6-8,children_fiction,children,Self-Management,"fear,confidence,resilience",WeAreTeachers
The Book of Mistakes,Corinna Luyken,6-8,children_fiction,children,Self-Management,"perfectionism,growth-mindset",WeAreTeachers
The Invisible Boy,Trudy Ludwig,6-9,children_fiction,children,Social-Awareness,"inclusion,friendship,empathy",WeAreTeachers
Those Shoes,Maribeth Boelts,6-9,children_fiction,children,Social-Awareness,"empathy,perspective-taking",WeAreTeachers
My Very Own Space,Pippa Goodhart & Rebecca Crane,6-8,children_fiction,children,Relationship-Skills,"conflict,social-skills",WeAreTeachers
Eyes That Kiss in the Corners,Joanna Ho,6-8,children_fiction,children,Self-Awareness,"identity,self-acceptance,diversity",WeAreTeachers
I Love Strawberries!,Shannon Anderson,6-9,children_fiction,children,Responsible-Decision-Making,"responsibility,growth-mindset",WeAreTeachers
Argyle Fox,Marie Letourneau,6-8,children_fiction,children,Self-Management,"resilience,growth-mindset",WeAreTeachers
A Small Kindness,Stacy McAnulty,6-8,children_fiction,children,Social-Awareness,"kindness,empathy",WeAreTeachers
Evelyn Del Rey Is Moving Away,Meg Medina,6-8,children_fiction,children,Self-Management,"moving,friendship,loss",WeAreTeachers
The Circles in the Sky,Karl James Mountford,6-9,children_fiction,children,Self-Management,"grief,loss",WeAreTeachers
Big Feelings,Alexandra Penfold,6-8,children_fiction,children,Self-Awareness,"emotions,emotional-literacy,resilience",WeAreTeachers
Cranky Right Now,Julie Berry,6-8,children_fiction,children,Self-Management,"anger,emotions",WeAreTeachers
Ruthie and the (Not So) Teeny Tiny Lie,Laura Rankin,6-8,children_fiction,children,Responsible-Decision-Making,honesty,WeAreTeachers
Stop and Smell the Cookies,Gibson Frazier,6-8,children_fiction,children,Self-Management,"impulse-control,mindfulness",WeAreTeachers
My Mouth Is a Volcano!,Julia Cook,6-9,children_fiction,children,Self-Management,"impulse-control,communication",WeAreTeachers
You Will Be My Friend!,Peter Brown,6-8,children_fiction,children,Relationship-Skills,"friendship,social-skills",WeAreTeachers
The Rough Patch,Brian Lies,6-9,children_fiction,children,Self-Management,"grief,resilience",WeAreTeachers
The Drama Llama,Rachel Morrisroe,6-8,children_fiction,children,Self-Management,"anxiety,social-skills",WeAreTeachers
Finding Grateful,Dianne White,6-8,children_fiction,children,Social-Awareness,"gratitude,mindfulness",WeAreTeachers
The Rabbit Listened,Cori Doerrfeld,6-8,children_fiction,children,Self-Management,"grief,empathy,emotions",WeAreTeachers
A Sick Day for Amos McGee,Philip C. Stead,6-8,children_fiction,children,Relationship-Skills,"friendship,kindness,empathy",WeAreTeachers
Silver Linings,Fiona Woodcock,6-8,children_fiction,children,Self-Management,"resilience,empathy",WeAreTeachers
Lola and the Troll,Connie Schultz,6-9,children_fiction,children,Social-Awareness,"bullying,self-esteem",WeAreTeachers
Daisy,Jessixa Bagley,6-8,children_fiction,children,Social-Awareness,"bullying,self-esteem",WeAreTeachers
Rulers of the Playground,Joseph Kuefler,6-8,children_fiction,children,Relationship-Skills,"friendship,social-skills,conflict",WeAreTeachers
A Friend for Henry,Jenn Bailey,6-8,children_fiction,children,Relationship-Skills,"friendship,inclusion,diversity",WeAreTeachers
Milo Imagines the World,Matt de la Peña,6-9,children_fiction,children,Social-Awareness,"empathy,perspective-taking",WeAreTeachers
I Am a Thundercloud,Leah Moser,6-8,children_fiction,children,Self-Management,"anger,emotions,emotional-literacy",WeAreTeachers
Be Kind,Pat Zietlow Miller,6-8,children_fiction,children,Social-Awareness,"kindness,empathy,inclusion",WeAreTeachers/MacKids
What to Do When You Worry Too Much: A Kid's Guide to Overcoming Anxiety,Dawn Huebner,6-12,children_nonfiction,"children,educators",Self-Management,anxiety,Child Mind Institute
The Fix-It Friends: Have No Fear!,Nicole C. Kear,7-10,children_fiction,children,Self-Management,"anxiety,fear",Child Mind Institute
How Big Are Your Worries Little Bear?,Jayneen Sanders,6-10,children_fiction,children,Self-Management,anxiety,Child Mind Institute
Ruby Finds a Worry,Tom Percival,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute
Hattie Harmony: Worry Detective,Elizabeth Olsen & Robbie Arnett,6-8,children_fiction,children,Self-Management,"anxiety,school-anxiety",Child Mind Institute
Don't Feed the WorryBug,Andi Green,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute
Invisible Isabel,Sally J. Pla,8-12,children_fiction,children,Self-Management,"anxiety,school-anxiety",Child Mind Institute
The Worry Monster,Dr. Catherine Cook-Cottone,6-8,children_fiction,children,Self-Management,anxiety,Child Mind Institute
Cory Stories: A Kid's Book About Living With ADHD,Jeanne Kraus,6-11,children_fiction,children,Self-Management,adhd,Child Mind Institute
That Always Happens Sometimes,Kiley Frank,6-8,children_fiction,children,Self-Management,adhd,Child Mind Institute
Wonder,R.J. Palacio,8-12,children_fiction,children,Social-Awareness,"bullying,inclusion,empathy",Child Mind Institute
Tease Monster: A Book About Teasing vs. Bullying,Julia Cook,6-10,children_fiction,children,Social-Awareness,bullying,Child Mind Institute
Am I a Bully?,Hope Gilchrist,6-9,children_fiction,children,Social-Awareness,bullying,Child Mind Institute
Warp Speed,Lisa Yee,8-12,children_fiction,children,Social-Awareness,"bullying,resilience",Child Mind Institute
Chrysanthemum,Kevin Henkes,6-8,children_fiction,children,Social-Awareness,"bullying,self-esteem",Child Mind Institute
I Miss You: A First Look at Death,Pat Thomas,6-8,children_nonfiction,"children,educators",Self-Management,"grief,loss",Child Mind Institute
The Invisible String,Patrice Karst,6-8,children_fiction,children,Self-Management,"grief,loss,anxiety",Child Mind Institute
When Dinosaurs Die,Laurie Krasny Brown & Marc Brown,6-9,children_nonfiction,"children,educators",Self-Management,"grief,loss",Child Mind Institute
One Wave at a Time,Holly Thompson,6-8,children_fiction,children,Self-Management,"grief,loss",Child Mind Institute
Mr. Worry: A Story About OCD,Holly L. Niner,7-12,children_fiction,children,Self-Management,"anxiety,perfectionism",Child Mind Institute
Up and Down the Worry Hill,Aureen Pinto Wagner,7-10,children_nonfiction,"children,educators",Self-Management,"anxiety,perfectionism",Child Mind Institute
Finding Perfect,Elly Swartz,9-12,children_fiction,children,Self-Management,"perfectionism,anxiety",Child Mind Institute
Fish in a Tree,Lynda Mullaly Hunt,8-12,children_fiction,children,Self-Awareness,"self-esteem,confidence,friendship",Child Mind Institute
In My Heart: A Book of Feelings,Jo Witek,6-8,children_fiction,children,Self-Awareness,"emotions,emotional-literacy",Child Mind Institute
When Sophie Gets Angry,Molly Bang,6-8,children_fiction,children,Self-Management,"anger,emotional-literacy",Child Mind Institute
When Sadness Is at Your Door,Eva Eland,6-8,children_fiction,children,Self-Management,"sadness,emotions",Child Mind Institute
A Terrible Thing Happened,Margaret M. Holmes,6-9,children_fiction,children,Self-Management,"stress,grief",Child Mind Institute
The War That Saved My Life,Kimberly Brubaker Bradley,9-12,children_fiction,children,Self-Management,"grief,resilience,stress",Child Mind Institute
Red: A Crayon's Story,Michael Hall,6-9,children_fiction,children,Self-Awareness,"identity,self-acceptance",Child Mind Institute
Lola's Words Disappeared,Elaheh Bos,6-8,children_fiction,children,Self-Management,"anxiety,social-skills",Child Mind Institute
A Boy Called Bat,Elana K. Arnold,6-10,children_fiction,children,Social-Awareness,"diversity,friendship,inclusion",Child Mind Institute
Good Different,Meg Eden Kuyatt,8-12,children_fiction,children,Social-Awareness,"diversity,self-acceptance,inclusion",Child Mind Institute
A Whole New Ballgame,Phil Bildner,8-12,children_fiction,children,Social-Awareness,"diversity,friendship",Child Mind Institute
What to Do When Your Temper Flares,Dawn Huebner,6-12,children_nonfiction,"children,educators",Self-Management,"anger,impulse-control",Magination Press
What to Do When Mistakes Make You Quake,Claire A.B. Freeland & Jacqueline B. Toner,8-12,children_nonfiction,"children,educators",Self-Management,"perfectionism,resilience",Magination Press
What to Do When You Feel Too Shy,Claire A.B. Freeland & Jacqueline B. Toner,6-12,children_nonfiction,"children,educators",Self-Management,"anxiety,social-skills,confidence",Magination Press
What to Do When It's Not Fair,Jacqueline B. Toner & Claire A.B. Freeland,6-12,children_nonfiction,"children,educators",Self-Awareness,"emotions,conflict",Magination Press
What to Do When You Grumble Too Much,Dawn Huebner,6-12,children_nonfiction,"children,educators",Self-Awareness,"emotions,resilience,growth-mindset",Magination Press
What to Do When You Don't Want to Be Apart,Kristen Lavallee & Sheryl Hendry,6-12,children_nonfiction,"children,educators",Self-Management,"anxiety,fear",Magination Press
A Feel Better Book for Little Worriers,Holly Brochmann & Leah Bowen,6-8,children_nonfiction,"children,educators",Self-Management,anxiety,Magination Press
A Feel Better Book for Little Tempers,Holly Brochmann & Leah Bowen,6-8,children_nonfiction,"children,educators",Self-Management,anger,Magination Press
Shield Up! How Upstanding Bystanders Stop Bullying,Marcella Marino Craver,8-12,children_nonfiction,"children,educators",Social-Awareness,bullying,Magination Press
