title,author,age_range,book_type,audience,casel_domain,problem_tags,source,isbn,description,cover_url,rating,ratings_count,goodreads_rating,goodreads_ratings_count,goodreads_url,amazon_url
Brave Every Day,Trudy Ludwig,6-8,children_fiction,children,Self-Management,"anxiety,fear,self-esteem",WeAreTeachers,9798855079876,"Camila is filled with worry and fear, but when she hides during a class field trip to the aquarium, she finds a classmate who is also afraid and needs a friend.",https://books.google.com/books/content?id=9fbR0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,4.11,417,https://www.goodreads.com/book/show/57410627-brave-every-day?from_search=true&from_srp=true&qid=smCGusdj4m&rank=1,https://www.amazon.com/s?k=9798855079876
A Case of the Zaps,Alex Boniello & April Lavalle,6-8,children_fiction,children,Self-Management,anxiety,WeAreTeachers,9781647004057,"From Tony Award winners Alex Boniello and April Lavalle, A Case of the Zaps is a charming, heartfelt picture book that will spark a conversation about anxiety and mental health with readers of every generation, illustrated by James Kwan. Meet 3.14159265358979323846264338327950 . . . or Pi, for short. Pi’s just like any other kid robot: They love to listen to music, play with their dog, and hang…",https://books.google.com/books/content?id=w5ldEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781647004057
The Whatifs,Emily Kilgore,6-8,children_fiction,children,Self-Management,anxiety,WeAreTeachers,9781760509316,"Cora is constantly worrying about everything. Because of this, the Whatifs love her. They sneak up to her and give her all kinds of doubts: big or small, silly or frightening, likely or impossible. What if my dog runs away? What if I forget my homework? What if the sun stops shining? What if my crayon breaks? As Cora prepares for an upcoming piano recital, the Whatifs cling on tighter and drag…",https://books.google.com/books/content?id=7UxrzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781760509316
Jabari Jumps,Gaia Cornwall,6-8,children_fiction,children,Self-Management,"fear,confidence,resilience",WeAreTeachers,9781536220674,"Working up the courage to take a big, important leap is hard, but Jabari is almost absolutely ready to make a giant splash. Jabari is definitely ready to jump off the diving board. He’s finished his swimming lessons and passed his swim test, and he’s a great jumper, so he’s not scared at all. “Looks easy,” says Jabari, watching the other kids take their turns. But when his dad squeezes his hand,…",https://books.google.com/books/content?id=cKr9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781536220674
The Book of Mistakes,Corinna Luyken,6-8,children_fiction,children,Self-Management,"perfectionism,growth-mindset",WeAreTeachers,9780605005327,,,,,,,,https://www.amazon.com/s?k=9780605005327
The Invisible Boy,Trudy Ludwig,6-9,children_fiction,children,Social-Awareness,"inclusion,friendship,empathy",WeAreTeachers,9780449818206,"A gentle story that teaches how small acts of kindness can help children feel included and allow them to flourish, from esteemed author and speaker Trudy Ludwig and acclaimed illustrator Patrice Barton. A simple act of kindness can transform an invisible boy into a friend... Meet Brian, the invisible boy. Nobody in class ever seems to notice him or think to include him in their group, game, or…",https://books.google.com/books/content?id=2_pRiQ119b0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5,1,,,,https://www.amazon.com/s?k=9780449818206
Those Shoes,Maribeth Boelts,6-9,children_fiction,children,Social-Awareness,"empathy,perspective-taking",WeAreTeachers,9780763691486,"But all the kids are wearing them! Any child who has ever craved something out of reach will relate to this warm, refreshingly realistic story. Features an audio read-along. ""I have dreams about those shoes. Black high-tops. Two white stripes."" All Jeremy wants is a pair of those shoes, the ones everyone at school seems to be wearing. But Jeremy’s grandma tells him they don’t have room for…",https://books.google.com/books/content?id=AI4hDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780763691486
My Very Own Space,Pippa Goodhart & Rebecca Crane,6-8,children_fiction,children,Relationship-Skills,"conflict,social-skills",WeAreTeachers,9781911171126,"A little rabbit is trying to read his book in peace, but there's so much going on around him! Maybe he needs some space just for himself... With minimal text accompanying beautiful and sweet illustrations, this charming picture book explores ideas of personal space and sharing in a way that even very young children can enjoy.",https://books.google.com/books/content?id=sBeREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781911171126
Eyes That Kiss in the Corners,Joanna Ho,6-8,children_fiction,children,Self-Awareness,"identity,self-acceptance,diversity",WeAreTeachers,9780063082175,"A New York Times Bestseller and #1 Indie Bestseller · A Bank Street Best Children’s Book of the Year · A School Library Journal Best Book of 2021 · Included in NPR’s 2021 Books We Love List · Featured in Forbes, Oprah Daily, The Cut, and Book Riot · Golden Poppy Book Award Winner · Featured in Chicago Public Library’s Best Books of 2021 · 2021 Nerdy Award Winner · A Kirkus Children's Best Book of…",https://books.google.com/books/content?id=P3_2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,,https://www.amazon.com/s?k=9780063082175
I Love Strawberries!,Shannon Anderson,6-9,children_fiction,children,Responsible-Decision-Making,"responsibility,growth-mindset",WeAreTeachers,9781948898065,"Jolie LOVES strawberries! She loves them so much she's determined to grow her very own plants. But her parents aren't sure she's ready. Jolie and her faithful rabbit, Munchy, find out just how fun - and complicated - it can be to grow your own food in this delicious story.",https://books.google.com/books/content?id=yMyNzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,https://www.amazon.com/s?k=9781948898065
