title,isbn,section,bookshop_url,image
"What Happened to You?","9780316506472","Social Awareness Books","https://bookshop.org/a/1233/9780316506472",""
"Red Shoes","9781338114607","Social Awareness Books","https://bookshop.org/a/1233/9781338114607",""
"Your Name is a Song","9781943147724","Social Awareness Books","https://bookshop.org/a/1233/9781943147724",""
"Around the Table That Grandad Built","9780763697846","Social Awareness Books","https://bookshop.org/a/1233/9780763697846",""
"Outside, Inside","9781250798350","Social Awareness Books","https://bookshop.org/a/1233/9781250798350",""
"You Matter","9781534421691","Self-Awareness Books","https://bookshop.org/a/1233/9781534421691",""
"Can Bears Ski?","9781536212662","Self-Awareness Books","https://bookshop.org/a/1233/9781536212662",""
"Eyes That Kiss in the Corners","9780062915627","Self-Awareness Books","https://bookshop.org/a/1233/9780062915627",""
"The Many Colors of Harpreet Singh","9781454931843","Self-Awareness Books","https://bookshop.org/a/1233/9781454931843",""
"The Happiest Kid","9781953458087","Self-Awareness Books","https://bookshop.org/a/1233/9781953458087",""
"The Grand Hotel of Feelings","9781800660410","Self-Awareness Books","https://bookshop.org/a/1233/9781800660410",""
"Daniel’s Good Day","9780399546723","Self-Awareness Books","https://bookshop.org/a/1233/9780399546723",""
"Be You!","9781338572315","Books to Help with Self-Management","https://bookshop.org/a/1233/9781338572315",""
"I Am Every Good Thing","9780525518778","Books to Help with Self-Management","https://bookshop.org/a/1233/9780525518778",""
"Mel Fell","9780062878014","Books to Help with Self-Management","https://bookshop.org/a/1233/9780062878014",""
"The Little Butterfly That Could","9781338615005","Books to Help with Self-Management","https://bookshop.org/a/1233/9781338615005",""
"Jabari Jumps","9781536202908","Books to Help with Self-Management","https://bookshop.org/a/1233/9781536202908",""
"Ten Beautiful Things","9781580899369","Books to Help with Self-Management","https://bookshop.org/a/1233/9781580899369",""
"Rissy No Kissies","9781541597983","Responsible Decision-Making Books","https://bookshop.org/a/1233/9781541597983",""
"Who’s In Charge?","9781536226508","Responsible Decision-Making Books","https://bookshop.org/a/1233/9781536226508",""
"Our Favorite Day of the Year","9781481485630","Books for Strengthening Relationship Skills","https://bookshop.org/a/1233/9781481485630",""
"It Is Not Perfect","9781542016629","Books for Strengthening Relationship Skills","https://bookshop.org/a/1233/9781542016629",""
