slug,title,author,asin,amzn_url,source,list
the-feelings-book,The Feelings Book,Todd Parr,,https://amzn.to/3eOXI1X,imaginationsoup.net,sel-picture-books-feelings-emotions
olive-all-at-once,Olive All At Once,,,https://amzn.to/4etuB30,imaginationsoup.net,sel-picture-books-feelings-emotions
pocket-full-of-sads,Pocket Full of Sads,Brad Davidson,,https://amzn.to/3Kxg35W,imaginationsoup.net,sel-picture-books-feelings-emotions
the-rabbit-listened,The Rabbit Listened,Cori Doerrfeld,,https://amzn.to/2jgjzUO,imaginationsoup.net,sel-picture-books-feelings-emotions
happy-sad-today,Happy Sad Today,Lory Britain,,https://amzn.to/3dwn6Ob,imaginationsoup.net,sel-picture-books-feelings-emotions
the-im-not-scared-book,The I'm Not Scared Book,Todd Parr,,http://amzn.to/2y5MK37,imaginationsoup.net,sel-picture-books-feelings-emotions
as-brave-as-a-lion,As Brave as a Lion,Erika Meza,,https://amzn.to/42UOhHo,imaginationsoup.net,sel-picture-books-feelings-emotions
the-cat-who-couldnt-be-bothered,The Cat Who Couldn't Be Bothered,,,https://amzn.to/3P69xoM,imaginationsoup.net,sel-picture-books-feelings-emotions
i-say-you-say-feelings,"I Say, You Say FEELINGS",,0316200743,https://www.amazon.com/dp/0316200743,imaginationsoup.net,sel-picture-books-feelings-emotions
today-i-feel-silly-and-other-moods-that-make-my-day,Today I Feel Silly: And Other Moods that Make My Day,Jamie Lee Curtis,,https://amzn.to/2Zvjwcn,imaginationsoup.net,sel-picture-books-feelings-emotions
i-am-a-thundercloud,I Am a Thundercloud,,,https://amzn.to/3WQH0q8,imaginationsoup.net,sel-picture-books-feelings-emotions
jenny-mei-is-sad,Jenny Mei Is Sad,Tracy Subisak,,https://amzn.to/3wUON8a,imaginationsoup.net,sel-picture-books-feelings-emotions
grumpy-monkey,Grumpy Monkey,Suzanne Lang,,https://amzn.to/2L6TN5Q,imaginationsoup.net,sel-picture-books-feelings-emotions
lenas-shoes-are-nervous,Lena's Shoes Are Nervous,,,https://amzn.to/2AKvdTz,imaginationsoup.net,sel-picture-books-feelings-emotions
hattie-harmony-worry-detective,Hattie Harmony Worry Detective,Elizabeth Olsen,,https://amzn.to/3TkWVdL,imaginationsoup.net,sel-picture-books-feelings-emotions
crying-is-like-the-rain-a-story-of-mindfulness-and-feelings,Crying is Like the Rain: A Story of Mindfulness and Feelings,Heather Hawk Feinberg,,https://amzn.to/3oX1BYa,imaginationsoup.net,sel-picture-books-feelings-emotions
tomorrow-ill-be-brave,Tomorrow I'll Be Brave,Jessica Hische,,https://amzn.to/2RuUlRK,imaginationsoup.net,sel-picture-books-feelings-emotions
tomorrow-ill-be-kind,Tomorrow I'll Be Kind,Jessica Hische,,https://amzn.to/3gfvBco,imaginationsoup.net,sel-picture-books-feelings-emotions
the-many-colors-of-harpreet-singh,The Many Colors of Harpreet Singh,Supriya Kelkar,,https://amzn.to/33dc1HB,imaginationsoup.net,sel-picture-books-feelings-emotions
out-of-a-jar,Out of a Jar,Deborah Marcero,,https://amzn.to/3LEoz0C,imaginationsoup.net,sel-picture-books-feelings-emotions
me-and-my-fear,Me and My Fear,Francesca Sanna,,https://amzn.to/3CBGOm2,imaginationsoup.net,sel-picture-books-feelings-emotions
