slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
teachers-guide-resolving-school-bullying,A Teacher’s Guide to Resolving School Bullying,A Teacher’s Guide to Resolving School Bullying,Dr,,"The Teacher’s Guide to Resolving School Bullying: Evidence-based Strategies and Pupil-led Interventions, is written by Dr. Elizabeth Nassem, a researcher and consultant based in the UK. Written for teachers, this book provides an analysis of the nature of bullying in schools. With a focus on student",,,,,https://www.selresources.com/sel/teachers-guide-resolving-school-bullying/
set-school-year-success-first-six-weeks-school,Set the school year up for success with: The First Six Weeks of School,The First Six Weeks of School,"Paula Denton, Roxann Kriete",2000,,The first six weeks of school,"Paula Denton, Roxann Kriete",9781892989048,https://covers.openlibrary.org/b/id/942074-M.jpg,https://www.selresources.com/sel/set-school-year-success-first-six-weeks-school/
book-film-teenagers-loss-parent,A book and film for teenagers about the loss of a parent,A book and film for teenagers about the loss of a parent,,,"A Monster Calls is a widely acclaimed book (2015) written by Patrick Ness, that was later made into a film (2016). Written for teenage readers, it is the story of a young boy Conor, who struggles with bullying and his mother’s terminal illness. Conor meets the monster, a nearby tree, who helps him u",,,,,https://www.selresources.com/sel/book-film-teenagers-loss-parent/
teacher-language-isnt-just-teachers-say-say-matters,"Teacher language: It isn’t just what teachers say, but how they say it that matters",Teacher language,"Stephen Andrews, Stephen Andrews",2003,"The Power of Our Words is a teacher resource book that emphasizes the power of language to shape learners. Written by US-based retired teacher and language researcher Paula Denton, the book offers different strategies for teachers to employ positive language in their classroom as a teaching tool. St",Teacher Language Awareness (Cambridge Language Teaching Library),"Stephen Andrews, Stephen Andrews",9780511335327,https://covers.openlibrary.org/b/id/2470201-M.jpg,https://www.selresources.com/sel/teacher-language-isnt-just-teachers-say-say-matters/
visiting-feelings-emotional-awareness-mindfulness-childrens-picture-book,Visiting Feelings: Emotional Awareness and Mindfulness in a Children’s Picture Book,Visiting Feelings,Lauren Rubenstein,2014,"The children’s book Visiting Feelings was written by Lauren Rubenstein, Psy.D. and illustrated by Shelley Hehenberger. The 32-page book was first published in 2013 by Magination Press. Visiting Feelings centers around the concepts of emotional awareness and mindfulness. It offers children opportunit",Visiting Feelings,"Dr. Lauren Rubenstein, JD, PsyD",9781433813399,https://covers.openlibrary.org/b/id/9710473-M.jpg,https://www.selresources.com/sel/visiting-feelings-emotional-awareness-mindfulness-childrens-picture-book/
childrens-picture-book-hope-healing-compassion,"A Children’s Picture Book about Hope, Healing and Compassion","A Children’s Picture Book about Hope, Healing and Compassion",,,,,,,,https://www.selresources.com/sel/childrens-picture-book-hope-healing-compassion/
book-foster-peacemaking-peers-kids-guide-working-conflicts,A book to foster Peacemaking with Peers: The Kids’ Guide to Working Out Conflicts,A book to foster Peacemaking with Peers,,,,,,,,https://www.selresources.com/sel/book-foster-peacemaking-peers-kids-guide-working-conflicts/
book-building-communication-skills-creative-conflict-resolution,A book on Building Communication Skills: Creative Conflict Resolution,A book on Building Communication Skills,,,,,,,,https://www.selresources.com/sel/book-building-communication-skills-creative-conflict-resolution/
99-activities-greetings-livening-morning-meetings,99 Activities and Greetings for Livening up Morning Meetings,99 Activities and Greetings for Livening up Morning Meetings,,,,,,,,https://www.selresources.com/sel/99-activities-greetings-livening-morning-meetings/
book-help-improve-school-climate-reduce-violence,A book to help Improve School Climate and Reduce Violence,A book to help Improve School Climate and Reduce Violence,Dr,,"Connecting with Students is authored by Dr. Allen N. Mendler, an American school psychologist who specializes in behavior and classroom management. This book was created for teachers to help foster positive and caring individual relationships with each student, in particular with challenging or at-r",,,,,https://www.selresources.com/sel/book-help-improve-school-climate-reduce-violence/
